Estado	Contaminados	Total	Taxa	Subgrupo
SC	28	714137	0.003920816	Indus
SP	77	3243941	0.002373656	Indus
AC	0	1282	0.0	Indus
AL	1	82454	0.001212797	Indus
AM	17	152457	0.011150685	Indus
BA	19	414230	0.004586824	Indus
CE	13	430669	0.003018559	Indus
GO	25	368643	0.006781629	Indus
MA	1	126089	0.000793091	Indus
PA	8	213885	0.003740328	Indus
PE	4	346222	0.001155328	Indus
PI	0	72627	0.0	Indus
RO	3	53814	0.005574757	Indus
SE	21	70093	0.029960196	Indus
TO	0	31677	0.0	Indus
MS	1	114799	0.000871088	Indus
RN	7	123641	0.005661552	Indus
RS	2	871135	0.000229586	Indus
AP	2	13765	0.014529604	Indus
MT	15	129416	0.01159053	Indus
PB	7	123142	0.005684494	Indus
PR	9	787841	0.001142362	Indus
RR	4	7319	0.054652275	Indus
